leaf_id,n_train_samples,mean_blr_prediction,epistemic_leverage,aleatoric_var,n_test_samples,test_accuracy,test_mean_predicted,test_brier
15,227,0.001721,0.000226,0.016619,59,1.000000,0.002383,0.000145
16,5,0.000000,0.032974,0.200000,1,1.000000,0.000000,0.000000
18,13,0.027024,0.011663,0.089311,3,0.666667,0.355574,0.201990
19,12,0.000000,0.011365,0.083333,1,1.000000,0.000000,0.000000
22,6,0.008355,0.027522,0.169512,1,1.000000,0.399100,0.361080
23,15,0.000698,0.010010,0.069286,4,1.000000,0.068151,0.012255
25,3,0.000000,0.036808,0.333333,0,0.000000,0.000000,0.000000
26,9,0.019081,0.018755,0.115242,4,0.500000,0.095067,0.345218
27,24,-0.001286,0.002398,0.065697,3,0.666667,0.080488,0.191793
28,1,-0.001979,0.046351,1.002225,0,0.000000,0.000000,0.000000
29,4,-0.002759,0.043782,0.253415,2,0.500000,0.517758,0.465114
30,135,0.004606,0.000289,0.068381,37,0.945946,0.673579,0.128130
